service,provider,quarter,complaints_per_100k,year,q,t,is_industry_avg
Fixed broadband,Sky,2022 Q1,4.0,2022,1,8088,False
Fixed broadband,Sky,2022 Q2,3.0,2022,2,8089,False
Fixed broadband,Sky,2022 Q3,4.0,2022,3,8090,False
Fixed broadband,Sky,2022 Q4,5.0,2022,4,8091,False
Fixed broadband,Sky,2023 Q1,5.0,2023,1,8092,False
Fixed broadband,Sky,2023 Q2,5.0,2023,2,8093,False
Fixed broadband,Sky,2023 Q3,5.0,2023,3,8094,False
Fixed broadband,Sky,2023 Q4,5.0,2023,4,8095,False
Fixed broadband,Sky,2024 Q1,6.0,2024,1,8096,False
Fixed broadband,Sky,2024 Q2,5.0,2024,2,8097,False
Fixed broadband,Sky,2024 Q3,5.0,2024,3,8098,False
Fixed broadband,Sky,2024 Q4,6.0,2024,4,8099,False
Fixed broadband,Sky,2025 Q1,6.0,2025,1,8100,False
Fixed broadband,Sky,2025 Q2,6.0,2025,2,8101,False
Fixed broadband,Sky,2025 Q3,6.0,2025,3,8102,False
Fixed broadband,Sky,2025 Q4,7.0,2025,4,8103,False
Fixed broadband,TalkTalk Group,2010 Q4,87.0,2010,4,8043,False
Fixed broadband,TalkTalk Group,2011 Q1,91.0,2011,1,8044,False
Fixed broadband,TalkTalk Group,2011 Q2,67.0,2011,2,8045,False
Fixed broadband,TalkTalk Group,2011 Q3,61.0,2011,3,8046,False
Fixed broadband,TalkTalk Group,2011 Q4,64.0,2011,4,8047,False
Fixed broadband,TalkTalk Group,2012 Q1,60.0,2012,1,8048,False
Fixed broadband,TalkTalk Group,2012 Q2,43.0,2012,2,8049,False
Fixed broadband,TalkTalk Group,2012 Q3,37.0,2012,3,8050,False
Fixed broadband,TalkTalk Group,2012 Q4,34.0,2012,4,8051,False
Fixed broadband,TalkTalk Group,2013 Q1,32.0,2013,1,8052,False
Fixed broadband,TalkTalk Group,2013 Q2,29.0,2013,2,8053,False
Fixed broadband,TalkTalk Group,2013 Q3,27.0,2013,3,8054,False
Fixed broadband,TalkTalk Group,2013 Q4,24.0,2013,4,8055,False
Fixed broadband,TalkTalk Group,2014 Q1,25.0,2014,1,8056,False
Fixed broadband,TalkTalk Group,2014 Q2,23.0,2014,2,8057,False
Fixed broadband,TalkTalk Group,2014 Q3,24.0,2014,3,8058,False
Fixed broadband,TalkTalk Group,2014 Q4,23.0,2014,4,8059,False
